水前寺菜,すいぜんじな
サラダ菜,サラダな
白洲干し,しらす干し
薩摩揚げ,さつま揚げ
河原煎餅,かわらせんべい
玉蜀黍,とうもろこし
薩摩芋,さつまいも
自然薯,じねんじょ
葛切り,くずきり
向日葵,ひまわり
落花生,らっかせい
明日葉,あしたば
小松菜,こまつな
山東菜,さんとうさい
しし唐,ししとう
唐辛子,とうがらし
二十日,はつか
広島菜,ひろしまな
蕗の薹,ふきのとう
普段艘,ふだんそう
法蓮草,ほうれんそう
三つ葉,みつば
茗荷竹,みょうがたけ
無花果,いちじく
干し柿,干しがき
伊予間,いよかん
夏蜜柑,なつみかん
日向夏,ひゅうがなつ
青のり,あおのり
海葡萄,うみぶどう
唐揚げ,から揚げ
玉筋魚,いかなご
金目鯛,きんめだい
大西洋,たいせいよう
味噌煮,みそ煮
油角鮫,あぶらつのざめ
秋刀魚,さんま
太刀魚,たちうお
明太子,めんたいこ
数の子,かずのこ
鮒寿司,ふなずし
帆立貝,ほたてがい
七面鳥,しちめんちょう
荏胡麻,えごま
御手洗,みたらし
こし餡,こしあん
餡まん,あんまん
柚餅子,ゆべし
濃い口,こいくち
顎出汁,あごだし
す揚げ,素揚げ
合挽き,合いびき
粟餅,あわもち
燕麦,えんばく
大麦,おおむぎ
茹で,ゆで
小麦,こむぎ
揚げ,あげ
焼き,やき
饂飩,うどん
素麺,そうめん
干し,ほし
冷や,ひや
手延,
沖縄,おきなわ
蕎麦,そば
醤油,しょうゆ
胚芽,はいが
煎餅,せんべい
餃子,ぎょうざ
焼売,しゅうまい
生地,きじ
蒟蒻,こんにゃく
白滝,しらたき
里芋,さといも
八頭,やつがしら
長芋,ながいも
春雨,はるさめ
蜂蜜,はちみつ
小豆,あずき
練り,ねり
最中,もなか
金団,きんとん
空豆,そらまめ
大豆,だいず
葡萄,ぶどう
甘煮,あまに
煎り,いり
胡麻,ごま
南瓜,かぼちゃ
銀杏,ぎんなん
日本,にほん
胡桃,くるみ
西瓜,すいか
宇土,うど
枝豆,えだまめ
西洋,せいよう
辛子,からし
干瓢,かんぴょう
海苔,のり
胡瓜,きゅうり
行者,ぎょうじゃ
牛蒡,ごぼう
搾菜,ザーサイ
四角,しかく
紫蘇,しそ
生姜,しょうが
芋茎,ずいき
大根,だいこん
胆振,いぶり
沢庵,たくあん
味噌,みそ
高菜,たかな
玉葱,たまねぎ
筑紫,つくし
冬瓜,とうがん
茄子,なす
人参,にんじん
白菜,はくさい
糸瓜,へちま
切り,きり
茗荷,みょうが
蓮根,れんこん
分葱,わけぎ
山葵,わさび
入り,いり
杏子,あんず
花梨,かりん
